,OS,OS,OS,Age,Age
,count,mean,median,mean,median
Grade,,,,,
2,105,1251.4857142857143,1211.0,39.04587155963303,38.0
3,67,783.0746268656717,609.0,42.65277777777778,42.0
4,138,396.59420289855075,286.5,46.895833333333336,48.0
