,Batch,Age,Grade,OS,"Censor (1=dead,0=alive)",Radio,Chemo,IDH(DNA&RNA),IDH1-DNA,IDH2-DNA,PTEN,IDH1-R32,IDH2-R172,TP53.1,EGFR,ATRX,EZH2
count,325.0,325.0,325.0,310.0,310.0,296.0,286.0,325.0,300.0,300.0,119.0,325.0,325.0,325.0,325.0,325.0,325.0
mean,1.1476923076923078,43.323076923076925,3.1076923076923078,769.6838709677419,0.45806451612903226,0.7162162162162162,0.5524475524475524,0.5261538461538462,0.5066666666666667,0.02,112.53781512605042,0.49846153846153846,0.015384615384615385,0.5815384615384616,0.3384615384615385,0.10153846153846154,0.11384615384615385
std,0.3553418160979739,12.101050475148398,0.8770580193070292,659.4187325118662,0.49904387128609423,0.45159664829700863,0.4981132356053356,0.5000854627815831,0.5007909017876288,0.1402339182917773,287.426624090156,0.5007686399618397,0.12326671027227314,0.4940673679798778,0.4739160170990826,0.30250615119361046,0.3181141009081194
min,1.0,8.0,2.0,21.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
25%,1.0,36.0,2.0,239.25,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
50%,1.0,42.0,3.0,488.5,0.0,1.0,1.0,1.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0
75%,1.0,51.0,4.0,1155.75,1.0,1.0,1.0,1.0,1.0,0.0,0.0,1.0,0.0,1.0,1.0,0.0,0.0
max,2.0,81.0,4.0,2491.0,1.0,1.0,1.0,1.0,1.0,1.0,1124.0,1.0,1.0,1.0,1.0,1.0,1.0
