idh_status,patient_count,median_os,mean_os,min_os,max_os,deaths,alive,death_rate_pct,alive_rate_pct,median_os_years
Wildtype,146,332.0,480.81,33.0,2351.0,93.0,53,63.7,36.3,0.91
Mutant,164,1047.5,1026.85,21.0,2491.0,49.0,115,29.88,70.12,2.87
