gender_label,patient_count,median_os,mean_os,min_os,max_os,deaths,alive,death_rate_pct,alive_rate_pct,median_os_years
Male,195,448.0,739.79,29.0,2491.0,92.0,103,47.18,52.82,1.23
Female,115,564.0,820.37,21.0,2486.0,50.0,65,43.48,56.52,1.54
