mutation_status,patient_count,median_os,mean_os,min_os,max_os,deaths,alive,death_rate_pct,alive_rate_pct,median_os_years
No mutations,67,331.0,466.27,33.0,2072.0,46.0,21,68.66,31.34,0.91
Has mutation,243,610.0,853.34,21.0,2491.0,96.0,147,39.51,60.49,1.67
